"DVD movie: Title (Year)", "Description"
"DVD movie: Guardians of the Galaxy (2014)", "A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe."
"DVD movie: Prometheus (2012)", "Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
"DVD movie: Split (2016)", "Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."
"DVD movie: Sing (2016)", "In a city of humanoid animals, a hustling theater impresarios attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."
"DVD movie: Suicide Squad (2016)", "A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse."
"DVD movie: The Great Wall (2016)", "European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures."
"DVD movie: La La Land (2016)", "A jazz pianist falls for an aspiring actress in Los Angeles."
"DVD movie: Mindhorn (2016)", "A has-been actor best known for playing the title character in the 1980s detective series Mindhorn must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person."
"DVD movie: The Lost City of Z (2016)", "A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s."
"DVD movie: Passengers (2016)", "A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
"DVD movie: Fantastic Beasts and Where to Find Them (2016)", "The adventures of writer Newt Scamander in New Yorks secret community of witches and wizards seventy years before Harry Potter reads his book in school."
"DVD movie: Hidden Figures (2016)", "The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program."
"DVD movie: Rogue One (2016)", "The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow."
"DVD movie: Moana (2016)", "In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftains daughters island, she answers the Oceans call to seek out the Demigod to set things right."
"DVD movie: Colossal (2016)", "Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon."
"DVD movie: The Secret Life of Pets (2016)", "The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
"DVD movie: Hacksaw Ridge (2016)", "WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
"DVD movie: Jason Bourne (2016)", "The CIAs most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past."
"DVD movie: Lion (2016)", "A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."
"DVD movie: Arrival (2016)", "When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors."
